id: 453901917307669115, distance: 0.9999986886978149, entity: {'Metaphone_Name': 'SMPRNJKRN', 'Title_Code': 'BIHHIN05150', 'Title_Name': 'SAMPURNA JAGRAN'}
id: 453901917307669111, distance: 0.9999986886978149, entity: {'Metaphone_Name': 'SMPRNJKRN', 'Title_Code': 'BIHHIN05227', 'Title_Name': 'SAMPURNA JAGRAN'}
id: 453901917307669116, distance: 0.9999986886978149, entity: {'Metaphone_Name': 'SMPRNJKRN', 'Title_Code': 'BIHHIN04876', 'Title_Name': 'SAMPURNA JAGRAN'}
id: 453901917307669240, distance: 0.9999986886978149, entity: {'Metaphone_Name': 'SMPRNJKRN', 'Title_Code': 'SIKHIN00007', 'Title_Name': 'SAMPURNA JAGRAN'}
id: 453901917307669176, distance: 0.8955761790275574, entity: {'Metaphone_Name': 'SMJTJKRN', 'Title_Code': 'MAHMAR18580', 'Title_Name': 'SAMAJWADI JAGRAN'}
id: 453901917307669235, distance: 0.8032951354980469, entity: {'Metaphone_Name': 'PRMNJKRN', 'Title_Code': 'RAJHIN12806', 'Title_Name': 'BRAHMAN JAGRAN'}
id: 453901917307669182, distance: 0.7925857901573181, entity: {'Metaphone_Name': 'PRFSJKRN', 'Title_Code': 'MAHHIN10392', 'Title_Name': 'PRAVASI JAGRAN'}
id: 453901917307669272, distance: 0.7925328016281128, entity: {'Metaphone_Name': 'KSJKRN', 'Title_Code': 'UPHIN05847', 'Title_Name': 'KHAS JAGRAN'}
id: 453901917307669278, distance: 0.7925328016281128, entity: {'Metaphone_Name': 'KSJKRN', 'Title_Code': 'UPHIN38553', 'Title_Name': 'KHAS JAGRAN'}
id: 453901917307669305, distance: 0.7897883057594299, entity: {'Metaphone_Name': 'KNFNJKRN', 'Title_Code': 'UPBIL05145', 'Title_Name': 'GINVANI JAGRAN'}
id: 453901917307669185, distance: 0.7871350049972534, entity: {'Metaphone_Name': 'PRKRJKRN', 'Title_Code': 'MAHHIN10329', 'Title_Name': 'PRAKHAR JAGRAN'}
id: 453901917307669186, distance: 0.7871350049972534, entity: {'Metaphone_Name': 'PRKRJKRN', 'Title_Code': 'MAHMAR52850', 'Title_Name': 'PRAKHAR JAGRAN'}
id: 453901917307669187, distance: 0.7851200699806213, entity: {'Metaphone_Name': 'AKPRPTJKRN', 'Title_Code': 'MAHHIN09384', 'Title_Name': 'YUG PRABHAT JAGRAN'}
id: 453901917307669183, distance: 0.7847787737846375, entity: {'Metaphone_Name': 'SKJKRN', 'Title_Code': 'MAHBIL10173', 'Title_Name': 'SEWAK JAGRAN'}
id: 453901917307669224, distance: 0.7793334722518921, entity: {'Metaphone_Name': 'JNJKRN', 'Title_Code': 'PUNPUN03786', 'Title_Name': 'JAN JAGRAN'}
id: 453901917307669159, distance: 0.7793334722518921, entity: {'Metaphone_Name': 'JNJKRN', 'Title_Code': 'GUJGUJ15098', 'Title_Name': 'JAN JAGRAN'}
id: 453901917307669123, distance: 0.7793334722518921, entity: {'Metaphone_Name': 'JNJKRN', 'Title_Code': 'DELPUN00627', 'Title_Name': 'JAN JAGRAN'}
id: 453901917307669331, distance: 0.7793334722518921, entity: {'Metaphone_Name': 'JNJKRN', 'Title_Code': 'WBHIN00332', 'Title_Name': 'JAIN JAGRAN'}
id: 453901917307669295, distance: 0.7786015868186951, entity: {'Metaphone_Name': 'PRTJKRN', 'Title_Code': 'UPHIN08884', 'Title_Name': 'PROD JAGRAN'}
id: 453901917307669150, distance: 0.7786015868186951, entity: {'Metaphone_Name': 'PRTJKRN', 'Title_Code': 'DELHIN06063', 'Title_Name': 'BHARAT JAGRAN'}
id: 453901917307681374, distance: 0.7754579782485962, entity: {'Metaphone_Name': 'SMRNTNS', 'Title_Code': 'MAHHIN09579', 'Title_Name': 'SUMMER INDIA NEWS'}
id: 453901917307669285, distance: 0.7737167477607727, entity: {'Metaphone_Name': 'KNJKRN', 'Title_Code': 'UPHIN51237', 'Title_Name': 'GYAN JAGRAN'}
id: 453901917307669196, distance: 0.7664657235145569, entity: {'Metaphone_Name': 'KRFJKRN', 'Title_Code': 'MPHIN12120', 'Title_Name': 'KAURAV JAGRAN'}
id: 453901917307669193, distance: 0.7650946378707886, entity: {'Metaphone_Name': 'KRSKJKRN', 'Title_Code': 'MPHIN27979', 'Title_Name': 'KRISAK JAGRAN'}
id: 453901917307669199, distance: 0.7650946378707886, entity: {'Metaphone_Name': 'KRSKJKRN', 'Title_Code': 'MPHIN18736', 'Title_Name': 'KRISAK JAGRAN'}
id: 453901917307669296, distance: 0.7635719776153564, entity: {'Metaphone_Name': 'ATKJKRN', 'Title_Code': 'UPHIN49681', 'Title_Name': 'UDYOG JAGRAN'}
id: 453901917307669126, distance: 0.7623708844184875, entity: {'Metaphone_Name': 'ATRKNTJKRN', 'Title_Code': 'DELHIN07073', 'Title_Name': 'UTTRAKHAND JAGRAN'}
id: 453901917307669230, distance: 0.7616593837738037, entity: {'Metaphone_Name': 'FRPRTTTJKRN', 'Title_Code': 'RAJHIN07368', 'Title_Name': 'VIR BHARAT HADOTI JAGRAN'}
id: 453901917307669118, distance: 0.7615838646888733, entity: {'Metaphone_Name': 'KXNJKRN', 'Title_Code': 'CHAHIN00427', 'Title_Name': 'KISHAN JAGRAN'}
id: 453901917307669259, distance: 0.7614184617996216, entity: {'Metaphone_Name': 'KRNTJKRN', 'Title_Code': 'UPHIN33973', 'Title_Name': 'KRANTI JAGRAN'}
id: 453901917307669134, distance: 0.7597640752792358, entity: {'Metaphone_Name': 'SHKRJKRN', 'Title_Code': 'DELMAL00135', 'Title_Name': 'SAHAKAR JAGRAN'}
id: 453901917307669138, distance: 0.7597640752792358, entity: {'Metaphone_Name': 'SHKRJKRN', 'Title_Code': 'DELHIN29092', 'Title_Name': 'SAHAKAR JAGRAN'}
id: 453901917307669139, distance: 0.7597640752792358, entity: {'Metaphone_Name': 'SHKRJKRN', 'Title_Code': 'DELBEN00173', 'Title_Name': 'SAHAKAR JAGRAN'}
id: 453901917307669128, distance: 0.7597640752792358, entity: {'Metaphone_Name': 'SHKRJKRN', 'Title_Code': 'DELGUJ00092', 'Title_Name': 'SAHAKAR JAGRAN'}
id: 453901917307669132, distance: 0.7597640752792358, entity: {'Metaphone_Name': 'SHKRJKRN', 'Title_Code': 'DELENG19922', 'Title_Name': 'SAHAKAR JAGRAN'}
